collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType,collab:elemType_collab:participant,selected_prefix_length
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:03:47,case_114,m4_119,send,PartyC,m4,,,SendTask_PartyB,16
task,PartyB,Activity BB,PartyB,2021-06-23 07:03:52,case_114,,,,,,,task_PartyB,16
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:04:09,case_114,m4_119,receive,,m4,PartyB,start,ReceiveTask_PartyC,16
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:04:11,case_114,m1_118,send,PartyA,m1,,,SendTask_PartyB,16
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:04:30,case_114,m2_120,send,,m2,,,SendTask_PartyB,16
task,PartyC,Activity ZA,PartyC,2021-06-23 07:04:45,case_114,,,,,,,task_PartyC,16
task,PartyA,Activity A,PartyA,2021-06-23 07:04:57,case_114,,,,,,,task_PartyA,16
task,PartyB,Activity FF,PartyB,2021-06-23 07:05:08,case_114,,,,,,,task_PartyB,16
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:05:20,case_114,m5_121,send,PartyB,m5,,,SendTask_PartyC,16
task,PartyC,Activity CZ,PartyC,2021-06-23 07:05:26,case_114,,,,,,,task_PartyC,16
task,PartyA,Activity C,PartyA,2021-06-23 07:05:30,case_114,,,,,,,task_PartyA,16
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:05:32,case_114,m5_121,receive,,m5,PartyC,,ReceiveTask_PartyB,16
task,PartyB,Activity G,PartyB,2021-06-23 07:05:37,case_114,,,,,,,task_PartyB,16
task,PartyC,Activity BZ,PartyC,2021-06-23 07:05:56,case_114,,,,,,,task_PartyC,16
task,PartyB,Activity DD,PartyB,2021-06-23 07:05:56,case_114,,,,,,,task_PartyB,16
task,PartyA,Activity B,PartyA,2021-06-23 07:06:12,case_114,,,,,,,task_PartyA,16
task,PartyA,Activity A,PartyA,2021-06-23 07:11:23,case_129,,,,,,,task_PartyA,9
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:11:28,case_129,m4_135,send,PartyC,m4,,,SendTask_PartyB,9
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:11:34,case_129,m4_135,receive,,m4,PartyB,start,ReceiveTask_PartyC,9
task,PartyB,Activity BB,PartyB,2021-06-23 07:11:34,case_129,,,,,,,task_PartyB,9
task,PartyC,Activity ZA,PartyC,2021-06-23 07:11:46,case_129,,,,,,,task_PartyC,9
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:11:49,case_129,m1_134,send,PartyA,m1,,,SendTask_PartyB,9
task,PartyC,Activity CZ,PartyC,2021-06-23 07:11:56,case_129,,,,,,,task_PartyC,9
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:11:57,case_129,m2_132,send,PartyA,m2,,,SendTask_PartyB,9
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:12:01,case_129,m5_136,send,PartyB,m5,,,SendTask_PartyC,9
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:19:51,case_149,m4_157,send,PartyC,m4,,,SendTask_PartyB,1
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:47:01,case_214,m4_225,send,PartyC,m4,,,SendTask_PartyB,20
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:47:02,case_214,m4_225,receive,,m4,PartyB,start,ReceiveTask_PartyC,20
task,PartyB,Activity BB,PartyB,2021-06-23 07:47:14,case_214,,,,,,,task_PartyB,20
task,PartyA,Activity A,PartyA,2021-06-23 07:47:23,case_214,,,,,,,task_PartyA,20
task,PartyA,Activity C,PartyA,2021-06-23 07:47:37,case_214,,,,,,,task_PartyA,20
task,PartyC,Activity ZA,PartyC,2021-06-23 07:47:43,case_214,,,,,,,task_PartyC,20
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:47:54,case_214,m5_227,send,PartyB,m5,,,SendTask_PartyC,20
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:47:59,case_214,m1_224,send,PartyA,m1,,,SendTask_PartyB,20
task,PartyC,Activity CZ,PartyC,2021-06-23 07:48:03,case_214,,,,,,,task_PartyC,20
task,PartyB,Activity G,PartyB,2021-06-23 07:48:12,case_214,,,,,,,task_PartyB,20
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:48:17,case_214,m2_226,send,,m2,,,SendTask_PartyB,20
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:48:30,case_214,m5_227,receive,,m5,PartyC,,ReceiveTask_PartyB,20
task,PartyB,Activity FF,PartyB,2021-06-23 07:48:35,case_214,,,,,,,task_PartyB,20
