collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType,collab:elemType_collab:participant,selected_prefix_length
task,PartyA,Activity A,PartyA,2021-06-23 07:18:07,case_144,,,,,,,task_PartyA,6
task,PartyA,Activity C,PartyA,2021-06-23 07:18:14,case_144,,,,,,,task_PartyA,6
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:18:16,case_144,m4_151,send,PartyC,m4,,,SendTask_PartyB,6
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:18:26,case_144,m4_151,receive,,m4,PartyB,start,ReceiveTask_PartyC,6
task,PartyB,Activity BB,PartyB,2021-06-23 07:18:29,case_144,,,,,,,task_PartyB,6
task,PartyC,Activity ZA,PartyC,2021-06-23 07:18:44,case_144,,,,,,,task_PartyC,6
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:24:14,case_159,m4_167,send,PartyC,m4,,,SendTask_PartyB,16
task,PartyA,Activity A,PartyA,2021-06-23 07:24:20,case_159,,,,,,,task_PartyA,16
task,PartyB,Activity BB,PartyB,2021-06-23 07:24:29,case_159,,,,,,,task_PartyB,16
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:24:36,case_159,m4_167,receive,,m4,PartyB,start,ReceiveTask_PartyC,16
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:24:40,case_159,m1_166,send,PartyA,m1,,,SendTask_PartyB,16
task,PartyC,Activity ZA,PartyC,2021-06-23 07:24:43,case_159,,,,,,,task_PartyC,16
task,PartyC,Activity CZ,PartyC,2021-06-23 07:24:49,case_159,,,,,,,task_PartyC,16
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:24:52,case_159,m5_168,send,PartyB,m5,,,SendTask_PartyC,16
task,PartyC,Activity BZ,PartyC,2021-06-23 07:25:00,case_159,,,,,,,task_PartyC,16
task,PartyB,Activity G,PartyB,2021-06-23 07:25:04,case_159,,,,,,,task_PartyB,16
task,PartyB,Activity FF,PartyB,2021-06-23 07:25:06,case_159,,,,,,,task_PartyB,16
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:25:09,case_159,m5_168,receive,,m5,PartyC,,ReceiveTask_PartyB,16
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:25:12,case_159,m2_164,send,PartyA,m2,,,SendTask_PartyB,16
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 07:25:16,case_159,m2_164,receive,,m2,PartyB,,ReceiveTask_PartyA,16
task,PartyB,Activity DD,PartyB,2021-06-23 07:25:20,case_159,,,,,,,task_PartyB,16
task,PartyB,Activity I,PartyB,2021-06-23 07:25:20,case_159,,,,,,,task_PartyB,16
task,PartyA,Activity A,PartyA,2021-06-23 07:25:49,case_164,,,,,,,task_PartyA,13
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:25:52,case_164,m4_172,send,PartyC,m4,,,SendTask_PartyB,13
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:25:55,case_164,m4_172,receive,,m4,PartyB,start,ReceiveTask_PartyC,13
task,PartyC,Activity ZA,PartyC,2021-06-23 07:25:57,case_164,,,,,,,task_PartyC,13
task,PartyB,Activity BB,PartyB,2021-06-23 07:25:58,case_164,,,,,,,task_PartyB,13
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:26:02,case_164,m1_171,send,PartyA,m1,,,SendTask_PartyB,13
task,PartyB,Activity G,PartyB,2021-06-23 07:26:06,case_164,,,,,,,task_PartyB,13
task,PartyC,Activity CZ,PartyC,2021-06-23 07:26:16,case_164,,,,,,,task_PartyC,13
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:26:20,case_164,m5_173,send,PartyB,m5,,,SendTask_PartyC,13
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:26:24,case_164,m5_173,receive,,m5,PartyC,,ReceiveTask_PartyB,13
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:26:31,case_164,m2_169,send,PartyA,m2,,,SendTask_PartyB,13
task,PartyC,Activity BZ,PartyC,2021-06-23 07:26:41,case_164,,,,,,,task_PartyC,13
task,PartyB,Activity FF,PartyB,2021-06-23 07:26:44,case_164,,,,,,,task_PartyB,13
task,PartyA,Activity A,PartyA,2021-06-23 07:34:19,case_184,,,,,,,task_PartyA,6
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:34:20,case_184,m4_193,send,PartyC,m4,,,SendTask_PartyB,6
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:34:35,case_184,m4_193,receive,,m4,PartyB,start,ReceiveTask_PartyC,6
