collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType,collab:elemType_collab:participant,selected_prefix_length
task,PartyA,Activity A,PartyA,2021-06-23 07:01:29,case_109,,,,,,,task_PartyA,17
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:01:36,case_109,m4_115,send,PartyC,m4,,,SendTask_PartyB,17
task,PartyB,Activity BB,PartyB,2021-06-23 07:01:40,case_109,,,,,,,task_PartyB,17
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:01:43,case_109,m1_114,send,PartyA,m1,,,SendTask_PartyB,17
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:01:48,case_109,m4_115,receive,,m4,PartyB,start,ReceiveTask_PartyC,17
task,PartyB,Activity FF,PartyB,2021-06-23 07:01:53,case_109,,,,,,,task_PartyB,17
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:02:00,case_109,m2_112,send,PartyA,m2,,,SendTask_PartyB,17
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 07:02:09,case_109,m2_112,receive,,m2,PartyB,,ReceiveTask_PartyA,17
task,PartyB,Activity G,PartyB,2021-06-23 07:02:20,case_109,,,,,,,task_PartyB,17
task,PartyA,Activity B,PartyA,2021-06-23 07:02:24,case_109,,,,,,,task_PartyA,17
task,PartyC,Activity ZA,PartyC,2021-06-23 07:02:37,case_109,,,,,,,task_PartyC,17
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:02:39,case_109,m3_113,send,PartyB,m3,,,SendTask_PartyA,17
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:02:44,case_109,m5_116,send,PartyB,m5,,,SendTask_PartyC,17
task,PartyC,Activity CZ,PartyC,2021-06-23 07:02:49,case_109,,,,,,,task_PartyC,17
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:02:49,case_109,m5_116,receive,,m5,PartyC,,ReceiveTask_PartyB,17
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 07:03:10,case_109,m1_114,receive,,m1,PartyB,,ReceiveTask_PartyA,17
task,PartyC,Activity BZ,PartyC,2021-06-23 07:03:26,case_109,,,,,,,task_PartyC,17
task,PartyA,Activity A,PartyA,2021-06-23 06:21:52,case_14,,,,,,,task_PartyA,17
SendTask,PartyB,Activity AA,PartyB,2021-06-23 06:21:56,case_14,m4_13,send,PartyC,m4,,,SendTask_PartyB,17
task,PartyB,Activity BB,PartyB,2021-06-23 06:21:56,case_14,,,,,,,task_PartyB,17
ReceiveTask,PartyC,Start,PartyC,2021-06-23 06:22:03,case_14,m4_13,receive,,m4,PartyB,start,ReceiveTask_PartyC,17
task,PartyC,Activity ZA,PartyC,2021-06-23 06:22:10,case_14,,,,,,,task_PartyC,17
task,PartyC,Activity CZ,PartyC,2021-06-23 06:22:26,case_14,,,,,,,task_PartyC,17
SendTask,PartyB,Activity CC,PartyB,2021-06-23 06:22:28,case_14,m1_12,send,PartyA,m1,,,SendTask_PartyB,17
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:22:35,case_14,m5_14,send,PartyB,m5,,,SendTask_PartyC,17
task,PartyC,Activity BZ,PartyC,2021-06-23 06:22:47,case_14,,,,,,,task_PartyC,17
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 06:22:50,case_14,m5_14,receive,,m5,PartyC,,ReceiveTask_PartyB,17
task,PartyB,Activity FF,PartyB,2021-06-23 06:22:53,case_14,,,,,,,task_PartyB,17
task,PartyB,Activity G,PartyB,2021-06-23 06:22:56,case_14,,,,,,,task_PartyB,17
