collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType,collab:elemType_collab:participant,selected_prefix_length
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:09:02,case_124,m4_129,send,PartyC,m4,,,SendTask_PartyB,16
task,PartyB,Activity BB,PartyB,2021-06-23 07:09:07,case_124,,,,,,,task_PartyB,16
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:09:15,case_124,m1_128,send,PartyA,m1,,,SendTask_PartyB,16
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:09:24,case_124,m4_129,receive,,m4,PartyB,start,ReceiveTask_PartyC,16
task,PartyC,Activity ZA,PartyC,2021-06-23 07:09:37,case_124,,,,,,,task_PartyC,16
task,PartyA,Activity A,PartyA,2021-06-23 07:09:44,case_124,,,,,,,task_PartyA,16
task,PartyA,Activity C,PartyA,2021-06-23 07:09:57,case_124,,,,,,,task_PartyA,16
task,PartyB,Activity FF,PartyB,2021-06-23 07:10:04,case_124,,,,,,,task_PartyB,16
task,PartyC,Activity CZ,PartyC,2021-06-23 07:10:19,case_124,,,,,,,task_PartyC,16
task,PartyB,Activity G,PartyB,2021-06-23 07:10:23,case_124,,,,,,,task_PartyB,16
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:10:35,case_124,m2_130,send,,m2,,,SendTask_PartyB,16
task,PartyA,Activity B,PartyA,2021-06-23 07:10:39,case_124,,,,,,,task_PartyA,16
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:10:42,case_124,m3_127,send,PartyB,m3,,,SendTask_PartyA,16
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 07:10:48,case_124,m1_128,receive,,m1,PartyB,,ReceiveTask_PartyA,16
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:10:56,case_124,m5_131,send,PartyB,m5,,,SendTask_PartyC,16
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:10:59,case_124,m5_131,receive,,m5,PartyC,,ReceiveTask_PartyB,16
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:13:48,case_134,m4_140,send,PartyC,m4,,,SendTask_PartyB,3
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:13:56,case_134,m4_140,receive,,m4,PartyB,start,ReceiveTask_PartyC,3
task,PartyC,Activity ZA,PartyC,2021-06-23 07:14:05,case_134,,,,,,,task_PartyC,3
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:16:16,case_139,m4_147,send,PartyC,m4,,,SendTask_PartyB,21
task,PartyA,Activity A,PartyA,2021-06-23 07:16:22,case_139,,,,,,,task_PartyA,21
task,PartyB,Activity BB,PartyB,2021-06-23 07:16:29,case_139,,,,,,,task_PartyB,21
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:16:44,case_139,m4_147,receive,,m4,PartyB,start,ReceiveTask_PartyC,21
task,PartyC,Activity ZA,PartyC,2021-06-23 07:16:48,case_139,,,,,,,task_PartyC,21
task,PartyC,Activity CZ,PartyC,2021-06-23 07:16:56,case_139,,,,,,,task_PartyC,21
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:16:59,case_139,m5_148,send,PartyB,m5,,,SendTask_PartyC,21
task,PartyC,Activity BZ,PartyC,2021-06-23 07:17:05,case_139,,,,,,,task_PartyC,21
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:17:05,case_139,m1_146,send,PartyA,m1,,,SendTask_PartyB,21
task,PartyB,Activity FF,PartyB,2021-06-23 07:17:08,case_139,,,,,,,task_PartyB,21
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:17:09,case_139,m5_148,receive,,m5,PartyC,,ReceiveTask_PartyB,21
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:17:12,case_139,m2_144,send,PartyA,m2,,,SendTask_PartyB,21
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 07:17:15,case_139,m2_144,receive,,m2,PartyB,,ReceiveTask_PartyA,21
task,PartyB,Activity G,PartyB,2021-06-23 07:17:18,case_139,,,,,,,task_PartyB,21
task,PartyA,Activity B,PartyA,2021-06-23 07:17:20,case_139,,,,,,,task_PartyA,21
task,PartyB,Activity DD,PartyB,2021-06-23 07:17:21,case_139,,,,,,,task_PartyB,21
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:17:30,case_139,m3_145,send,PartyB,m3,,,SendTask_PartyA,21
task,PartyB,Activity I,PartyB,2021-06-23 07:17:34,case_139,,,,,,,task_PartyB,21
task,PartyB,Activity J,PartyB,2021-06-23 07:17:41,case_139,,,,,,,task_PartyB,21
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 07:17:48,case_139,m1_146,receive,,m1,PartyB,,ReceiveTask_PartyA,21
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 07:17:52,case_139,m3_145,receive,,m3,PartyA,,ReceiveTask_PartyB,21
task,PartyA,Activity A,PartyA,2021-06-23 07:30:07,case_174,,,,,,,task_PartyA,16
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:30:11,case_174,m4_183,send,PartyC,m4,,,SendTask_PartyB,16
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:30:15,case_174,m4_183,receive,,m4,PartyB,start,ReceiveTask_PartyC,16
task,PartyC,Activity ZA,PartyC,2021-06-23 07:30:20,case_174,,,,,,,task_PartyC,16
task,PartyB,Activity BB,PartyB,2021-06-23 07:30:27,case_174,,,,,,,task_PartyB,16
task,PartyC,Activity CZ,PartyC,2021-06-23 07:30:40,case_174,,,,,,,task_PartyC,16
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:30:42,case_174,m5_184,send,PartyB,m5,,,SendTask_PartyC,16
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:30:43,case_174,m1_182,send,PartyA,m1,,,SendTask_PartyB,16
task,PartyC,Activity BZ,PartyC,2021-06-23 07:30:46,case_174,,,,,,,task_PartyC,16
task,PartyB,Activity G,PartyB,2021-06-23 07:30:49,case_174,,,,,,,task_PartyB,16
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:30:53,case_174,m5_184,receive,,m5,PartyC,,ReceiveTask_PartyB,16
task,PartyB,Activity FF,PartyB,2021-06-23 07:30:56,case_174,,,,,,,task_PartyB,16
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:31:00,case_174,m2_180,send,PartyA,m2,,,SendTask_PartyB,16
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 07:31:02,case_174,m2_180,receive,,m2,PartyB,,ReceiveTask_PartyA,16
task,PartyB,Activity DD,PartyB,2021-06-23 07:31:02,case_174,,,,,,,task_PartyB,16
task,PartyB,Activity I,PartyB,2021-06-23 07:31:06,case_174,,,,,,,task_PartyB,16
task,PartyA,Activity A,PartyA,2021-06-23 07:31:51,case_179,,,,,,,task_PartyA,16
task,PartyA,Activity C,PartyA,2021-06-23 07:31:55,case_179,,,,,,,task_PartyA,16
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:31:58,case_179,m4_187,send,PartyC,m4,,,SendTask_PartyB,16
task,PartyB,Activity BB,PartyB,2021-06-23 07:32:02,case_179,,,,,,,task_PartyB,16
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:32:11,case_179,m4_187,receive,,m4,PartyB,start,ReceiveTask_PartyC,16
task,PartyC,Activity ZA,PartyC,2021-06-23 07:32:16,case_179,,,,,,,task_PartyC,16
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:32:21,case_179,m1_186,send,PartyA,m1,,,SendTask_PartyB,16
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:32:26,case_179,m2_188,send,,m2,,,SendTask_PartyB,16
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:32:33,case_179,m5_189,send,PartyB,m5,,,SendTask_PartyC,16
task,PartyB,Activity G,PartyB,2021-06-23 07:32:37,case_179,,,,,,,task_PartyB,16
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:32:43,case_179,m5_189,receive,,m5,PartyC,,ReceiveTask_PartyB,16
task,PartyA,Activity B,PartyA,2021-06-23 07:32:55,case_179,,,,,,,task_PartyA,16
