msgInstanceId,msgProtocol,msgType,org:group,concept:name,collab:toParticipant,msgName,collab:elemType,collab:participant,time:timestamp,case:concept:name,collab:fromParticipant,eventType
disease_47,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:06:35,case_44,,
disease_47,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:06:38,case_44,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:06:42,case_44,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:06:43,case_44,,
blood sample_48,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:06:44,case_44,,
blood sample_48,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:06:46,case_44,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:06:48,case_44,,
results_49,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:06:51,case_44,,
results_49,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:06:52,case_44,Laboratory,
prescription_50,P2P,send,Gynecologist,Send prescription,Patient,prescription,SendTask,Gynecologist,2021-06-17 06:06:55,case_44,,
prescription_50,P2P,receive,Patient,Receive prescription,,prescription,ReceiveTask,Patient,2021-06-17 06:06:58,case_44,Gynecologist,
disease_171,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:24:37,case_169,,
disease_171,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:24:39,case_169,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:24:43,case_169,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:24:46,case_169,,
blood sample_172,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:24:49,case_169,,
blood sample_172,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:24:49,case_169,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:24:50,case_169,,
results_173,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:24:51,case_169,,
results_173,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:24:56,case_169,Laboratory,
prescription_174,P2P,send,Gynecologist,Send prescription,Patient,prescription,SendTask,Gynecologist,2021-06-17 06:24:57,case_169,,
prescription_174,P2P,receive,Patient,Receive prescription,,prescription,ReceiveTask,Patient,2021-06-17 06:25:02,case_169,Gynecologist,
disease_183,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:26:16,case_184,,
disease_183,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:26:18,case_184,Patient,start
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:26:18,case_184,,
blood sample_184,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:26:24,case_184,,
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:26:27,case_184,,
blood sample_184,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:26:31,case_184,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:26:33,case_184,,
results_185,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:26:37,case_184,,
results_185,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:26:40,case_184,Laboratory,
hospitalisation_186,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:26:49,case_184,,
hospitalisation_186,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:26:54,case_184,Gynecologist,
admission request_187,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:27:02,case_184,,
patient analysis_188,P2P,send,Gynecologist,Forward patient analysis results,Hospital,patient analysis,SendTask,Gynecologist,2021-06-17 06:27:08,case_184,,
admission request_187,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:27:18,case_184,Gynecologist,start
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:27:18,case_184,,
patient analysis_188,P2P,receive,Hospital,Receive patient results,,patient analysis,ReceiveTask,Hospital,2021-06-17 06:27:21,case_184,Gynecologist,
admission_189,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:27:21,case_184,,
admission_189,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:27:22,case_184,Hospital,
disease_370,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 06:56:30,case_339,,
disease_370,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 06:56:34,case_339,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 06:56:39,case_339,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 06:56:39,case_339,,
blood sample_371,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 06:56:43,case_339,,
blood sample_371,P2P,receive,Laboratory,Receive blood sample,,blood sample,ReceiveTask,Laboratory,2021-06-17 06:56:47,case_339,Gynecologist,start
,,,Laboratory,Analyse blood sample,,,task,Laboratory,2021-06-17 06:56:51,case_339,,
results_372,P2P,send,Laboratory,Send results,Gynecologist,results,SendTask,Laboratory,2021-06-17 06:56:51,case_339,,
results_372,P2P,receive,Gynecologist,Receive blood analysis results,,results,ReceiveTask,Gynecologist,2021-06-17 06:56:51,case_339,Laboratory,
hospitalisation_373,P2P,send,Gynecologist,Communicate the need to hospitalise,Patient,hospitalisation,SendTask,Gynecologist,2021-06-17 06:56:54,case_339,,
hospitalisation_373,P2P,receive,Patient,Hospitalisation needed,,hospitalisation,ReceiveTask,Patient,2021-06-17 06:56:58,case_339,Gynecologist,
admission request_374,P2P,send,Gynecologist,Require patient admission,Hospital,admission request,SendTask,Gynecologist,2021-06-17 06:57:04,case_339,,
patient analysis_375,P2P,send,Gynecologist,Forward patient analysis results,Hospital,patient analysis,SendTask,Gynecologist,2021-06-17 06:57:06,case_339,,
admission request_374,P2P,receive,Hospital,Admit patient,,admission request,ReceiveTask,Hospital,2021-06-17 06:57:09,case_339,Gynecologist,start
,,,Hospital,Create medical record,,,task,Hospital,2021-06-17 06:57:09,case_339,,
patient analysis_375,P2P,receive,Hospital,Receive patient results,,patient analysis,ReceiveTask,Hospital,2021-06-17 06:57:18,case_339,Gynecologist,
admission_376,P2P,send,Hospital,Send admission info,Patient,admission,SendTask,Hospital,2021-06-17 06:57:23,case_339,,
admission_376,P2P,receive,Patient,Receive admission info,,admission,ReceiveTask,Patient,2021-06-17 06:57:33,case_339,Hospital,
disease_4,P2P,send,Patient,Communicate disease,Gynecologist,disease,SendTask,Patient,2021-06-17 05:59:26,case_9,,
disease_4,P2P,receive,Gynecologist,Receive disease info,,disease,ReceiveTask,Gynecologist,2021-06-17 05:59:27,case_9,Patient,start
,,,Gynecologist,Examine patient,,,task,Gynecologist,2021-06-17 05:59:32,case_9,,
,,,Gynecologist,Blood draw,,,task,Gynecologist,2021-06-17 05:59:33,case_9,,
blood sample_5,P2P,send,Gynecologist,Send blood sample,Laboratory,blood sample,SendTask,Gynecologist,2021-06-17 05:59:36,case_9,,
