collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType,collab:elemType_collab:participant
task,PartyA,Activity A,PartyA,2021-06-23 09:03:26,case_394,,,,,,,task_PartyA
task,PartyA,Activity C,PartyA,2021-06-23 09:03:34,case_394,,,,,,,task_PartyA
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:03:37,case_394,m4_416,send,PartyC,m4,,,SendTask_PartyB
task,PartyB,Activity BB,PartyB,2021-06-23 09:03:41,case_394,,,,,,,task_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:03:44,case_394,m4_416,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyC,Activity ZA,PartyC,2021-06-23 09:03:47,case_394,,,,,,,task_PartyC
task,PartyA,Activity B,PartyA,2021-06-23 09:03:53,case_394,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 09:03:58,case_394,m3_414,send,PartyB,m3,,,SendTask_PartyA
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:03:58,case_394,m1_415,send,PartyA,m1,,,SendTask_PartyB
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 09:04:07,case_394,m1_415,receive,,m1,PartyB,,ReceiveTask_PartyA
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 09:04:13,case_394,m5_417,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 09:04:19,case_394,,,,,,,task_PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 09:04:28,case_394,,,,,,,task_PartyC
task,PartyB,Activity FF,PartyB,2021-06-23 09:04:37,case_394,,,,,,,task_PartyB
task,PartyB,Activity G,PartyB,2021-06-23 09:04:40,case_394,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 09:04:45,case_394,m5_417,receive,,m5,PartyC,,ReceiveTask_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:04:49,case_394,m2_418,send,,m2,,,SendTask_PartyB
task,PartyB,Activity DD,PartyB,2021-06-23 09:04:49,case_394,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 09:04:49,case_394,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 09:04:53,case_394,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 09:04:54,case_394,m3_414,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity O,PartyB,2021-06-23 09:04:58,case_394,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 09:05:00,case_394,,,,,,,task_PartyB
SendTask,PartyB,Activity AA,PartyB,2021-06-23 06:52:42,case_89,m4_94,send,PartyC,m4,,,SendTask_PartyB
task,PartyA,Activity A,PartyA,2021-06-23 06:52:59,case_89,,,,,,,task_PartyA
task,PartyB,Activity BB,PartyB,2021-06-23 06:53:10,case_89,,,,,,,task_PartyB
task,PartyA,Activity C,PartyA,2021-06-23 06:53:21,case_89,,,,,,,task_PartyA
SendTask,PartyB,Activity CC,PartyB,2021-06-23 06:53:27,case_89,m1_93,send,PartyA,m1,,,SendTask_PartyB
task,PartyB,Activity FF,PartyB,2021-06-23 06:53:32,case_89,,,,,,,task_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 06:53:39,case_89,m2_95,send,,m2,,,SendTask_PartyB
task,PartyB,Activity G,PartyB,2021-06-23 06:53:43,case_89,,,,,,,task_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 06:53:47,case_89,m4_94,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:53:52,case_89,,,,,,,task_PartyA
task,PartyC,Activity ZA,PartyC,2021-06-23 06:53:58,case_89,,,,,,,task_PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:54:04,case_89,m5_96,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 06:54:15,case_89,,,,,,,task_PartyC
SendTask,PartyA,Activity E,PartyA,2021-06-23 06:54:16,case_89,m3_92,send,PartyB,m3,,,SendTask_PartyA
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 06:54:24,case_89,m1_93,receive,,m1,PartyB,,ReceiveTask_PartyA
task,PartyC,Activity BZ,PartyC,2021-06-23 06:54:31,case_89,,,,,,,task_PartyC
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 06:54:34,case_89,m5_96,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyB,Activity DD,PartyB,2021-06-23 06:54:35,case_89,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 06:54:41,case_89,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 06:54:45,case_89,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 06:54:46,case_89,m3_92,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity N,PartyB,2021-06-23 06:54:51,case_89,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 06:54:53,case_89,,,,,,,task_PartyB
SendTask,PartyB,Activity AA,PartyB,2021-06-23 06:28:12,case_29,m4_29,send,PartyC,m4,,,SendTask_PartyB
task,PartyB,Activity BB,PartyB,2021-06-23 06:28:15,case_29,,,,,,,task_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 06:28:20,case_29,m4_29,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyC,Activity ZA,PartyC,2021-06-23 06:28:26,case_29,,,,,,,task_PartyC
SendTask,PartyB,Activity CC,PartyB,2021-06-23 06:28:32,case_29,m1_28,send,PartyA,m1,,,SendTask_PartyB
task,PartyA,Activity A,PartyA,2021-06-23 06:28:40,case_29,,,,,,,task_PartyA
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:28:44,case_29,m5_30,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 06:28:48,case_29,,,,,,,task_PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 06:28:52,case_29,,,,,,,task_PartyC
SendTask,PartyB,Activity EE,PartyB,2021-06-23 06:28:53,case_29,m2_26,send,PartyA,m2,,,SendTask_PartyB
ReceiveTask,PartyA,Activity D,PartyA,2021-06-23 06:28:58,case_29,m2_26,receive,,m2,PartyB,,ReceiveTask_PartyA
task,PartyA,Activity B,PartyA,2021-06-23 06:29:05,case_29,,,,,,,task_PartyA
task,PartyB,Activity FF,PartyB,2021-06-23 06:29:10,case_29,,,,,,,task_PartyB
SendTask,PartyA,Activity E,PartyA,2021-06-23 06:29:16,case_29,m3_27,send,PartyB,m3,,,SendTask_PartyA
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 06:29:19,case_29,m1_28,receive,,m1,PartyB,,ReceiveTask_PartyA
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 06:29:27,case_29,m5_30,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyB,Activity G,PartyB,2021-06-23 06:29:29,case_29,,,,,,,task_PartyB
task,PartyB,Activity DD,PartyB,2021-06-23 06:29:29,case_29,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 06:29:34,case_29,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 06:29:36,case_29,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 06:29:41,case_29,m3_27,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity O,PartyB,2021-06-23 06:29:41,case_29,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 06:29:43,case_29,,,,,,,task_PartyB
task,PartyA,Activity A,PartyA,2021-06-23 07:31:51,case_179,,,,,,,task_PartyA
task,PartyA,Activity C,PartyA,2021-06-23 07:31:55,case_179,,,,,,,task_PartyA
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:31:58,case_179,m4_187,send,PartyC,m4,,,SendTask_PartyB
task,PartyB,Activity BB,PartyB,2021-06-23 07:32:02,case_179,,,,,,,task_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:32:11,case_179,m4_187,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyC,Activity ZA,PartyC,2021-06-23 07:32:16,case_179,,,,,,,task_PartyC
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:32:21,case_179,m1_186,send,PartyA,m1,,,SendTask_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:32:26,case_179,m2_188,send,,m2,,,SendTask_PartyB
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:32:33,case_179,m5_189,send,PartyB,m5,,,SendTask_PartyC
task,PartyB,Activity G,PartyB,2021-06-23 07:32:37,case_179,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:32:43,case_179,m5_189,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyA,Activity B,PartyA,2021-06-23 07:32:55,case_179,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:33:04,case_179,m3_185,send,PartyB,m3,,,SendTask_PartyA
task,PartyB,Activity FF,PartyB,2021-06-23 07:33:07,case_179,,,,,,,task_PartyB
task,PartyC,Activity CZ,PartyC,2021-06-23 07:33:25,case_179,,,,,,,task_PartyC
task,PartyB,Activity DD,PartyB,2021-06-23 07:33:28,case_179,,,,,,,task_PartyB
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 07:33:34,case_179,m1_186,receive,,m1,PartyB,,ReceiveTask_PartyA
task,PartyC,Activity BZ,PartyC,2021-06-23 07:33:48,case_179,,,,,,,task_PartyC
task,PartyB,Activity I,PartyB,2021-06-23 07:33:54,case_179,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 07:33:58,case_179,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 07:34:02,case_179,m3_185,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity O,PartyB,2021-06-23 07:34:02,case_179,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 07:34:07,case_179,,,,,,,task_PartyB
