collab:elemType,org:group,concept:name,collab:participant,time:timestamp,case:concept:name,msgInstanceId,msgType,collab:toParticipant,msgFlow,collab:fromParticipant,eventType,collab:elemType_collab:participant
task,PartyA,Activity A,PartyA,2021-06-23 09:03:26,case_394,,,,,,,task_PartyA
task,PartyA,Activity C,PartyA,2021-06-23 09:03:34,case_394,,,,,,,task_PartyA
SendTask,PartyB,Activity AA,PartyB,2021-06-23 09:03:37,case_394,m4_416,send,PartyC,m4,,,SendTask_PartyB
task,PartyB,Activity BB,PartyB,2021-06-23 09:03:41,case_394,,,,,,,task_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 09:03:44,case_394,m4_416,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyC,Activity ZA,PartyC,2021-06-23 09:03:47,case_394,,,,,,,task_PartyC
task,PartyA,Activity B,PartyA,2021-06-23 09:03:53,case_394,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 09:03:58,case_394,m3_414,send,PartyB,m3,,,SendTask_PartyA
SendTask,PartyB,Activity CC,PartyB,2021-06-23 09:03:58,case_394,m1_415,send,PartyA,m1,,,SendTask_PartyB
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 09:04:07,case_394,m1_415,receive,,m1,PartyB,,ReceiveTask_PartyA
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 09:04:13,case_394,m5_417,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 09:04:19,case_394,,,,,,,task_PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 09:04:28,case_394,,,,,,,task_PartyC
task,PartyB,Activity FF,PartyB,2021-06-23 09:04:37,case_394,,,,,,,task_PartyB
task,PartyB,Activity G,PartyB,2021-06-23 09:04:40,case_394,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 09:04:45,case_394,m5_417,receive,,m5,PartyC,,ReceiveTask_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 09:04:49,case_394,m2_418,send,,m2,,,SendTask_PartyB
task,PartyB,Activity DD,PartyB,2021-06-23 09:04:49,case_394,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 09:04:49,case_394,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 09:04:53,case_394,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 09:04:54,case_394,m3_414,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity O,PartyB,2021-06-23 09:04:58,case_394,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 09:05:00,case_394,,,,,,,task_PartyB
SendTask,PartyB,Activity AA,PartyB,2021-06-23 07:03:47,case_114,m4_119,send,PartyC,m4,,,SendTask_PartyB
task,PartyB,Activity BB,PartyB,2021-06-23 07:03:52,case_114,,,,,,,task_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 07:04:09,case_114,m4_119,receive,,m4,PartyB,start,ReceiveTask_PartyC
SendTask,PartyB,Activity CC,PartyB,2021-06-23 07:04:11,case_114,m1_118,send,PartyA,m1,,,SendTask_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 07:04:30,case_114,m2_120,send,,m2,,,SendTask_PartyB
task,PartyC,Activity ZA,PartyC,2021-06-23 07:04:45,case_114,,,,,,,task_PartyC
task,PartyA,Activity A,PartyA,2021-06-23 07:04:57,case_114,,,,,,,task_PartyA
task,PartyB,Activity FF,PartyB,2021-06-23 07:05:08,case_114,,,,,,,task_PartyB
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 07:05:20,case_114,m5_121,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 07:05:26,case_114,,,,,,,task_PartyC
task,PartyA,Activity C,PartyA,2021-06-23 07:05:30,case_114,,,,,,,task_PartyA
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 07:05:32,case_114,m5_121,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyB,Activity G,PartyB,2021-06-23 07:05:37,case_114,,,,,,,task_PartyB
task,PartyC,Activity BZ,PartyC,2021-06-23 07:05:56,case_114,,,,,,,task_PartyC
task,PartyB,Activity DD,PartyB,2021-06-23 07:05:56,case_114,,,,,,,task_PartyB
task,PartyA,Activity B,PartyA,2021-06-23 07:06:12,case_114,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 07:06:17,case_114,m3_117,send,PartyB,m3,,,SendTask_PartyA
task,PartyB,Activity I,PartyB,2021-06-23 07:06:17,case_114,,,,,,,task_PartyB
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 07:06:25,case_114,m1_118,receive,,m1,PartyB,,ReceiveTask_PartyA
task,PartyB,Activity J,PartyB,2021-06-23 07:06:29,case_114,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 07:06:30,case_114,m3_117,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity O,PartyB,2021-06-23 07:06:33,case_114,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 07:06:36,case_114,,,,,,,task_PartyB
task,PartyA,Activity A,PartyA,2021-06-23 08:41:10,case_339,,,,,,,task_PartyA
SendTask,PartyB,Activity AA,PartyB,2021-06-23 08:41:14,case_339,m4_359,send,PartyC,m4,,,SendTask_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 08:41:21,case_339,m4_359,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyA,Activity C,PartyA,2021-06-23 08:41:28,case_339,,,,,,,task_PartyA
task,PartyC,Activity ZA,PartyC,2021-06-23 08:41:36,case_339,,,,,,,task_PartyC
task,PartyB,Activity BB,PartyB,2021-06-23 08:41:39,case_339,,,,,,,task_PartyB
SendTask,PartyB,Activity CC,PartyB,2021-06-23 08:41:44,case_339,m1_358,send,PartyA,m1,,,SendTask_PartyB
task,PartyC,Activity CZ,PartyC,2021-06-23 08:41:54,case_339,,,,,,,task_PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 08:42:00,case_339,m5_361,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity BZ,PartyC,2021-06-23 08:42:07,case_339,,,,,,,task_PartyC
task,PartyA,Activity B,PartyA,2021-06-23 08:42:11,case_339,,,,,,,task_PartyA
SendTask,PartyA,Activity E,PartyA,2021-06-23 08:42:17,case_339,m3_357,send,PartyB,m3,,,SendTask_PartyA
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 08:42:20,case_339,m1_358,receive,,m1,PartyB,,ReceiveTask_PartyA
SendTask,PartyB,Activity EE,PartyB,2021-06-23 08:42:24,case_339,m2_360,send,,m2,,,SendTask_PartyB
task,PartyB,Activity FF,PartyB,2021-06-23 08:42:30,case_339,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 08:42:32,case_339,m5_361,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyB,Activity G,PartyB,2021-06-23 08:42:33,case_339,,,,,,,task_PartyB
task,PartyB,Activity DD,PartyB,2021-06-23 08:42:38,case_339,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 08:42:38,case_339,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 08:42:39,case_339,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 08:42:43,case_339,m3_357,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity O,PartyB,2021-06-23 08:42:44,case_339,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 08:42:45,case_339,,,,,,,task_PartyB
SendTask,PartyB,Activity AA,PartyB,2021-06-23 06:52:42,case_89,m4_94,send,PartyC,m4,,,SendTask_PartyB
task,PartyA,Activity A,PartyA,2021-06-23 06:52:59,case_89,,,,,,,task_PartyA
task,PartyB,Activity BB,PartyB,2021-06-23 06:53:10,case_89,,,,,,,task_PartyB
task,PartyA,Activity C,PartyA,2021-06-23 06:53:21,case_89,,,,,,,task_PartyA
SendTask,PartyB,Activity CC,PartyB,2021-06-23 06:53:27,case_89,m1_93,send,PartyA,m1,,,SendTask_PartyB
task,PartyB,Activity FF,PartyB,2021-06-23 06:53:32,case_89,,,,,,,task_PartyB
SendTask,PartyB,Activity EE,PartyB,2021-06-23 06:53:39,case_89,m2_95,send,,m2,,,SendTask_PartyB
task,PartyB,Activity G,PartyB,2021-06-23 06:53:43,case_89,,,,,,,task_PartyB
ReceiveTask,PartyC,Start,PartyC,2021-06-23 06:53:47,case_89,m4_94,receive,,m4,PartyB,start,ReceiveTask_PartyC
task,PartyA,Activity B,PartyA,2021-06-23 06:53:52,case_89,,,,,,,task_PartyA
task,PartyC,Activity ZA,PartyC,2021-06-23 06:53:58,case_89,,,,,,,task_PartyC
SendTask,PartyC,Activity DZ,PartyC,2021-06-23 06:54:04,case_89,m5_96,send,PartyB,m5,,,SendTask_PartyC
task,PartyC,Activity CZ,PartyC,2021-06-23 06:54:15,case_89,,,,,,,task_PartyC
SendTask,PartyA,Activity E,PartyA,2021-06-23 06:54:16,case_89,m3_92,send,PartyB,m3,,,SendTask_PartyA
ReceiveTask,PartyA,Activity F,PartyA,2021-06-23 06:54:24,case_89,m1_93,receive,,m1,PartyB,,ReceiveTask_PartyA
task,PartyC,Activity BZ,PartyC,2021-06-23 06:54:31,case_89,,,,,,,task_PartyC
ReceiveTask,PartyB,Activity H,PartyB,2021-06-23 06:54:34,case_89,m5_96,receive,,m5,PartyC,,ReceiveTask_PartyB
task,PartyB,Activity DD,PartyB,2021-06-23 06:54:35,case_89,,,,,,,task_PartyB
task,PartyB,Activity I,PartyB,2021-06-23 06:54:41,case_89,,,,,,,task_PartyB
task,PartyB,Activity J,PartyB,2021-06-23 06:54:45,case_89,,,,,,,task_PartyB
ReceiveTask,PartyB,Activity K,PartyB,2021-06-23 06:54:46,case_89,m3_92,receive,,m3,PartyA,,ReceiveTask_PartyB
task,PartyB,Activity N,PartyB,2021-06-23 06:54:51,case_89,,,,,,,task_PartyB
task,PartyB,Activity L,PartyB,2021-06-23 06:54:53,case_89,,,,,,,task_PartyB
